Fuente/medio;Conversiones;Valor de las conversiones
google / cpc;4.657;62.004,30 €
google / cpc > google / cpc;1.500;20.332,41 €
google / organic;1.144;26.590,61 €
google / cpc > (direct) / (none);904;18.503,30 €
(direct) / (none);810;23.361,69 €
google / cpc > google / cpc > google / cpc;603;11.053,27 €
google / organic > (direct) / (none);449;10.316,81 €
Universal LDK / email;367;2.012,41 €
google / cpc > google / organic;320;6.250,37 €
(direct) / (none) > (direct) / (none);303;8.960,88 €
google / cpc > (direct) / (none) > (direct) / (none);299;5.904,33 €
criteo / banner;290;2.972,65 €
google / cpc > google / cpc > google / cpc > google / cpc;265;4.880,50 €
google / organic > google / cpc;254;3.250,27 €
google / cpc > google / cpc > (direct) / (none);241;5.988,28 €
google / cpc > criteo / banner;207;1.450,73 €
google / organic > (direct) / (none) > (direct) / (none);181;5.800,51 €
(direct) / (none) > (direct) / (none) > (direct) / (none);151;3.412,28 €
google / cpc > (direct) / (none) > (direct) / (none) > (direct) / (none);130;3.091,50 €
criteo / retargeting;114;328,50 €
(direct) / (none) > google / cpc;114;1.935,20 €
Facebook / PaidSocial;101;455,30 €
google / cpc > (direct) / (none) > google / cpc;99;2.111,40 €
google / cpc > google / cpc > google / cpc > google / cpc > google / cpc;91;2.802,30 €
Universal LDK / email > Universal LDK / email;86;612,10 €
google / cpc > google / cpc > google / cpc > (direct) / (none);85;2.061,02 €
google / cpc > google / cpc > (direct) / (none) > (direct) / (none);84;2.656,45 €
google / cpc > google / organic > google / cpc;84;1.204,69 €
Universal LDK / email > (direct) / (none);76;721,20 €
google / cpc > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none);74;2.720,20 €
(direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none);74;1.452,86 €
google / organic > (direct) / (none) > (direct) / (none) > (direct) / (none);74;2.894,64 €
google / cpc > criteo / banner > (direct) / (none);66;858,19 €
google / cpc > google / organic > (direct) / (none);66;2.170,25 €
google / cpc > google / cpc > google / organic;64;775,80 €
google / cpc > google / cpc > google / cpc > google / cpc > google / cpc > google / cpc;61;1.131,37 €
google / cpc > google / cpc > criteo / banner;61;795,16 €
google / organic > google / cpc > google / cpc;61;630,81 €
bing / cpc;58;1.400,90 €
lm.facebook.com / referral;56;0,00 €
criteo / banner > (direct) / (none);56;378,20 €
google / cpc > google / cpc > (direct) / (none) > google / cpc;53;1.013,10 €
(direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none);53;1.155,10 €
m.facebook.com / referral;52;74,60 €
google / organic > (direct) / (none) > google / cpc;51;1.438,10 €
criteo / banner > (direct) / (none) > (direct) / (none);42;514,59 €
google / organic > criteo / banner;42;167,90 €
google / cpc > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none);41;680,83 €
google / cpc > google / cpc > google / cpc > criteo / banner;39;240,30 €
google / organic > (direct) / (none) > (direct) / (none) > (direct) / (none) > (direct) / (none);38;1.509,05 €
