Conversiones;Valor de las conversiones;Path_1;Path_2;Path_3;Path_4;Path_5;Path_6;Path_7;Path_8;Path_9;Path_10;Path_11;Path_12;Path_13;Path_14;Path_15;Path_16;Path_17;Path_18;Path_19;Path_20;Path_21;Path_22;Path_23;Path_24;Path_25;Path_26;Path_27;Path_28;Path_29;Path_30;Path_31;Path_32;Path_33;Path_34;Path_35;Path_36;Path_37;Path_38;Path_39;Path_40;Path_41;Path_42;Path_43;Path_44;Path_45;Path_46;Path_47;Path_48;Path_49;Path_50;Path_51;Path_52;Path_53;Path_54;Path_55;Path_56;Path_57;Path_58;Path_59;Path_60;Path_61;Path_62;Path_63;Path_64;Path_65;Path_66;Path_67;Path_68;Path_69;Path_70;Path_71;Path_72;Path_73;Path_74
4657;62.004,30 €;google / cpc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1500;20.332,41 €;google / cpc ; google / cpc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1144;26.590,61 €;google / organic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
904;18.503,30 €;google / cpc ; (direct) / (none);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
810;23.361,69 €;(direct) / (none);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
603;11.053,27 €;google / cpc ; google / cpc ; google / cpc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
449;10.316,81 €;google / organic ; (direct) / (none);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
367;2.012,41 €;Universal LDK / email;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
320;6.250,37 €;google / cpc ; google / organic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
303;8.960,88 €;(direct) / (none) ; (direct) / (none);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
299;5.904,33 €;google / cpc ; (direct) / (none) ; (direct) / (none);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
290;2.972,65 €;criteo / banner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
265;4.880,50 €;google / cpc ; google / cpc ; google / cpc ; google / cpc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
254;3.250,27 €;google / organic ; google / cpc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
241;5.988,28 €;google / cpc ; google / cpc ; (direct) / (none);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
207;1.450,73 €;google / cpc ; criteo / banner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
181;5.800,51 €;google / organic ; (direct) / (none) ; (direct) / (none);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
