,Reference,Dates,Page_Views
194,61397,2017-09-02,0.0
195,61397,2017-09-03,0.0
196,61397,2017-09-04,0.0
197,61397,2017-09-05,0.0
198,61397,2017-09-06,0.0
199,61397,2017-09-07,0.0
200,61397,2017-09-08,0.0
201,61397,2017-09-09,0.0
202,61397,2017-09-10,0.0
203,61397,2017-09-11,0.0
204,61397,2017-09-12,0.0
205,61397,2017-09-13,0.0
206,61397,2017-09-14,0.0
207,61397,2017-09-15,0.0
208,61397,2017-09-16,0.0
209,61397,2017-09-17,0.0
210,61397,2017-09-18,0.0
211,61397,2017-09-19,0.0
212,61397,2017-09-20,0.0
213,61397,2017-09-21,0.0
214,61397,2017-09-22,0.0
215,61397,2017-09-23,0.0
216,61397,2017-09-24,0.0
217,61397,2017-09-25,0.0
218,61397,2017-09-26,0.0
219,61397,2017-09-27,0.0
220,61397,2017-09-28,0.0
221,61397,2017-09-29,0.0
222,61397,2017-09-30,0.0
223,61397,2017-10-01,0.0
224,61397,2017-10-02,0.0
225,61397,2017-10-03,0.0
226,61397,2017-10-04,0.0
227,61397,2017-10-05,0.0
228,61397,2017-10-06,0.0
229,61397,2017-10-07,0.0
230,61397,2017-10-08,0.0
231,61397,2017-10-09,0.0
232,61397,2017-10-10,0.0
233,61397,2017-10-11,0.0
234,61397,2017-10-12,0.0
235,61397,2017-10-13,0.0
236,61397,2017-10-14,0.0
237,61397,2017-10-15,0.0
238,61397,2017-10-16,0.0
239,61397,2017-10-17,0.0
0,61397,2017-10-18,9.0
1,61397,2017-10-19,9.0
240,61397,2017-10-20,0.0
2,61397,2017-10-21,28.0
3,61397,2017-10-22,28.0
241,61397,2017-10-23,0.0
242,61397,2017-10-24,0.0
243,61397,2017-10-25,0.0
244,61397,2017-10-26,0.0
245,61397,2017-10-27,0.0
246,61397,2017-10-28,0.0
247,61397,2017-10-29,0.0
248,61397,2017-10-30,0.0
249,61397,2017-10-31,0.0
250,61397,2017-11-01,0.0
4,61397,2017-11-02,9.0
5,61397,2017-11-03,9.0
6,61397,2017-11-04,37.0
251,61397,2017-11-05,0.0
252,61397,2017-11-06,0.0
253,61397,2017-11-07,0.0
254,61397,2017-11-08,0.0
255,61397,2017-11-09,0.0
256,61397,2017-11-10,0.0
257,61397,2017-11-11,0.0
258,61397,2017-11-12,0.0
259,61397,2017-11-13,0.0
260,61397,2017-11-14,0.0
7,61397,2017-11-15,9.0
8,61397,2017-11-16,9.0
261,61397,2017-11-17,0.0
262,61397,2017-11-18,0.0
263,61397,2017-11-19,0.0
264,61397,2017-11-20,0.0
9,61397,2017-11-21,9.0
265,61397,2017-11-22,0.0
266,61397,2017-11-23,0.0
