,Reference,CatN1,CatN2,Date,Cat_Price,CPC_medio,Impressions,Clics,Cost,Conversions,All_Conversions,Ads_Income,Ads_Income_All,ROAS_Ads
3821,51148,muebles,"consolas, recibidores y tocadores",2019-03-26,300,0.03,563,1,0.03,0.0,0.0,0.0,0.0,0.0
3822,51148,muebles,"consolas, recibidores y tocadores",2018-10-11,200,0.06,469,2,0.11,0.0,1.0,0.0,0.0,0.0
3823,51148,muebles,"consolas, recibidores y tocadores",2018-11-24,200,0.57,3105,10,5.71,0.0,0.0,0.0,0.0,0.0
3824,51148,muebles,"consolas, recibidores y tocadores",2018-10-27,200,0.14,833,3,0.43,0.0,0.0,0.0,0.0,0.0
3825,51148,muebles,"consolas, recibidores y tocadores",2018-10-12,200,0.12,664,4,0.47,0.0,0.0,0.0,0.0,0.0
3826,51148,muebles,"consolas, recibidores y tocadores",2019-02-25,200,0.41,1703,9,3.71,0.0,0.0,0.0,0.0,0.0
3827,51148,muebles,"consolas, recibidores y tocadores",2019-02-21,200,0.26,1238,4,1.04,0.0,0.0,0.0,0.0,0.0
3828,51148,muebles,"consolas, recibidores y tocadores",2018-12-30,200,0.38,1366,7,2.68,0.0,0.0,0.0,0.0,0.0
3829,51148,muebles,"consolas, recibidores y tocadores",2019-01-20,200,0.34,708,6,2.01,0.0,0.0,0.0,0.0,0.0
3830,51148,muebles,"consolas, recibidores y tocadores",2019-01-27,200,0.24,613,8,1.94,0.0,0.0,0.0,0.0,0.0
3831,51148,muebles,"consolas, recibidores y tocadores",2018-11-27,200,0.34,438,1,0.34,0.0,0.0,0.0,0.0,0.0
3832,51148,muebles,"consolas, recibidores y tocadores",2019-03-28,300,0.24,407,6,1.46,0.0,0.0,0.0,0.0,0.0
3833,51148,muebles,"consolas, recibidores y tocadores",2019-01-01,200,0.45,429,6,2.72,0.0,0.0,0.0,0.0,0.0
3834,51148,muebles,"consolas, recibidores y tocadores",2018-12-25,200,0.37,828,7,2.57,0.0,0.0,0.0,0.0,0.0
3835,51148,muebles,"consolas, recibidores y tocadores",2019-01-13,200,0.19,926,10,1.9,0.0,0.0,0.0,0.0,0.0
3836,51148,muebles,"consolas, recibidores y tocadores",2019-01-30,200,0.25,577,3,0.76,0.0,0.0,0.0,0.0,0.0
3837,51148,muebles,"consolas, recibidores y tocadores",2019-03-05,200,0.33,1382,8,2.63,0.0,0.0,0.0,0.0,0.0
3838,51148,muebles,"consolas, recibidores y tocadores",2018-10-23,200,0.13,634,6,0.76,0.0,0.0,0.0,0.0,0.0
3839,51148,muebles,"consolas, recibidores y tocadores",2018-12-17,200,0.34,915,6,2.04,0.0,0.0,0.0,0.0,0.0
3840,51148,muebles,"consolas, recibidores y tocadores",2019-03-03,200,0.3,1341,7,2.08,0.0,0.0,0.0,0.0,0.0
3841,51148,muebles,"consolas, recibidores y tocadores",2018-10-04,200,0.09,502,5,0.47,0.0,0.0,0.0,0.0,0.0
3842,51148,muebles,"consolas, recibidores y tocadores",2018-11-08,200,0.09,848,6,0.55,0.0,0.0,0.0,0.0,0.0
3843,51148,muebles,"consolas, recibidores y tocadores",2019-01-28,200,0.3,1006,4,1.18,0.0,0.0,0.0,0.0,0.0
3844,51148,muebles,"consolas, recibidores y tocadores",2019-01-12,200,0.28,784,6,1.65,0.0,0.0,0.0,0.0,0.0
3845,51148,muebles,"consolas, recibidores y tocadores",2018-10-13,200,0.08,667,4,0.3,0.0,0.0,0.0,0.0,0.0
3846,51148,muebles,"consolas, recibidores y tocadores",2019-03-21,300,0.26,686,3,0.77,0.0,0.0,0.0,0.0,0.0
3847,51148,muebles,"consolas, recibidores y tocadores",2018-11-15,200,0.27,2809,9,2.47,0.0,0.0,0.0,0.0,0.0
3848,51148,muebles,"consolas, recibidores y tocadores",2018-11-10,200,0.13,923,7,0.94,0.0,0.0,0.0,0.0,0.0
3849,51148,muebles,"consolas, recibidores y tocadores",2018-11-25,200,0.6,3153,14,8.33,0.0,0.0,0.0,0.0,0.0
3850,51148,muebles,"consolas, recibidores y tocadores",2018-12-21,200,0.36,708,6,2.15,0.0,0.0,0.0,0.0,0.0
3851,51148,muebles,"consolas, recibidores y tocadores",2019-01-16,200,0.26,860,3,0.77,0.0,0.0,0.0,0.0,0.0
3852,51148,muebles,"consolas, recibidores y tocadores",2019-02-28,200,0.3,1666,15,4.43,0.0,0.0,0.0,0.0,0.0
3853,51148,muebles,"consolas, recibidores y tocadores",2018-11-30,200,0.24,434,2,0.47,0.0,0.0,0.0,0.0,0.0
3854,51148,muebles,"consolas, recibidores y tocadores",2019-02-27,200,0.42,1496,6,2.53,0.0,0.0,0.0,0.0,0.0
3855,51148,muebles,"consolas, recibidores y tocadores",2018-11-14,200,0.16,1358,4,0.64,0.33,0.73,59.4,130.68,92.81
3856,51148,muebles,"consolas, recibidores y tocadores",2018-11-23,200,0.38,2938,17,6.42,0.0,0.0,0.0,0.0,0.0
3857,51148,muebles,"consolas, recibidores y tocadores",2019-01-15,200,0.34,888,6,2.05,1.5,2.5,267.3,445.5,130.39
3858,51148,muebles,"consolas, recibidores y tocadores",2018-12-14,200,0.67,263,1,0.67,0.0,0.0,0.0,0.0,0.0
3859,51148,muebles,"consolas, recibidores y tocadores",2018-10-10,200,0.14,480,6,0.83,0.0,1.0,0.0,0.0,0.0
3860,51148,muebles,"consolas, recibidores y tocadores",2018-12-01,200,0.29,365,3,0.86,0.0,0.0,0.0,0.0,0.0
3861,51148,muebles,"consolas, recibidores y tocadores",2019-02-18,200,0.28,561,3,0.85,0.0,0.0,0.0,0.0,0.0
3862,51148,muebles,"consolas, recibidores y tocadores",2019-03-02,200,0.26,1690,8,2.04,0.0,0.0,0.0,0.0,0.0
