,Reference,Name,Date,Net_Incomes,Units_sold
4261,48624,BIOMBO BLANCO PAPEL TRENZADO,2017-11-05,51.98,1
4262,48624,BIOMBO BLANCO PAPEL TRENZADO,2017-11-11,88.38,2
4263,48624,BIOMBO BLANCO PAPEL TRENZADO,2017-11-14,140.35,3
4264,48624,BIOMBO BLANCO PAPEL TRENZADO,2017-11-19,44.18,1
4265,48624,BIOMBO BLANCO PAPEL TRENZADO,2017-11-20,132.54,3
4266,48624,BIOMBO BLANCO PAPEL TRENZADO,2017-11-23,51.99,1
4267,48624,BIOMBO BLANCO PAPEL TRENZADO,2017-11-24,195.04,5
4268,48624,BIOMBO BLANCO PAPEL TRENZADO,2017-11-25,78.02,2
4269,48624,BIOMBO BLANCO PAPEL TRENZADO,2017-12-15,207.93,4
4270,48624,BIOMBO BLANCO PAPEL TRENZADO,2018-06-20,363.88,7
4271,48624,BIOMBO BLANCO PAPEL TRENZADO,2018-06-24,207.93,4
4272,48624,BIOMBO BLANCO PAPEL TRENZADO,2018-07-15,51.98,1
4273,48624,BIOMBO BLANCO PAPEL TRENZADO,2018-08-29,51.98,1
4274,48624,BIOMBO BLANCO PAPEL TRENZADO,2018-09-02,51.99,1
4275,48624,BIOMBO BLANCO PAPEL TRENZADO,2018-09-05,51.98,1
4276,48624,BIOMBO BLANCO PAPEL TRENZADO,2018-09-06,51.99,1
4277,48624,BIOMBO BLANCO PAPEL TRENZADO,2018-09-11,51.98,1
4278,48624,BIOMBO BLANCO PAPEL TRENZADO,2018-09-14,51.99,1
4279,48624,BIOMBO BLANCO PAPEL TRENZADO,2018-09-28,51.98,1
4280,48624,BIOMBO BLANCO PAPEL TRENZADO,2018-10-01,103.96,2
4281,48624,BIOMBO BLANCO PAPEL TRENZADO,2018-10-03,51.99,1
4282,48624,BIOMBO BLANCO PAPEL TRENZADO,2018-10-05,51.99,1
4283,48624,BIOMBO BLANCO PAPEL TRENZADO,2018-10-06,51.98,1
4284,48624,BIOMBO BLANCO PAPEL TRENZADO,2018-10-08,46.79,1
4285,48624,BIOMBO BLANCO PAPEL TRENZADO,2018-10-10,51.98,1
4286,48624,BIOMBO BLANCO PAPEL TRENZADO,2018-10-14,51.98,1
4287,48624,BIOMBO BLANCO PAPEL TRENZADO,2018-10-17,259.91,5
4288,48624,BIOMBO BLANCO PAPEL TRENZADO,2018-11-06,51.99,1
4289,48624,BIOMBO BLANCO PAPEL TRENZADO,2018-11-14,51.98,1
4290,48624,BIOMBO BLANCO PAPEL TRENZADO,2018-11-22,46.78,1
4291,48624,BIOMBO BLANCO PAPEL TRENZADO,2018-11-23,187.1,4
4292,48624,BIOMBO BLANCO PAPEL TRENZADO,2018-11-26,93.56,2
4293,48624,BIOMBO BLANCO PAPEL TRENZADO,2018-11-29,51.98,1
4294,48624,BIOMBO BLANCO PAPEL TRENZADO,2019-01-10,140.33,3
4295,48624,BIOMBO BLANCO PAPEL TRENZADO,2019-01-11,93.55,2
4296,48624,BIOMBO BLANCO PAPEL TRENZADO,2019-01-12,93.55,2
4297,48624,BIOMBO BLANCO PAPEL TRENZADO,2019-01-22,93.55,2
4298,48624,BIOMBO BLANCO PAPEL TRENZADO,2019-02-01,46.78,1
4299,48624,BIOMBO BLANCO PAPEL TRENZADO,2019-02-18,44.21,1
4300,48624,BIOMBO BLANCO PAPEL TRENZADO,2019-02-24,44.21,1
4301,48624,BIOMBO BLANCO PAPEL TRENZADO,2019-03-28,207.93,4
