,Reference,Name,Dates,Net_Incomes,Units_sold
0,64532.0,MESITA 2 PUERTAS Y 1 CAJÓN BLANCO,2018-09-03,104.13,1.0
19,64532.0,MESITA 2 PUERTAS Y 1 CAJÓN BLANCO,2018-09-04,0.0,0.0
20,64532.0,MESITA 2 PUERTAS Y 1 CAJÓN BLANCO,2018-09-05,0.0,0.0
21,64532.0,MESITA 2 PUERTAS Y 1 CAJÓN BLANCO,2018-09-06,0.0,0.0
22,64532.0,MESITA 2 PUERTAS Y 1 CAJÓN BLANCO,2018-09-07,0.0,0.0
23,64532.0,MESITA 2 PUERTAS Y 1 CAJÓN BLANCO,2018-09-08,0.0,0.0
24,64532.0,MESITA 2 PUERTAS Y 1 CAJÓN BLANCO,2018-09-09,0.0,0.0
25,64532.0,MESITA 2 PUERTAS Y 1 CAJÓN BLANCO,2018-09-10,0.0,0.0
26,64532.0,MESITA 2 PUERTAS Y 1 CAJÓN BLANCO,2018-09-11,0.0,0.0
27,64532.0,MESITA 2 PUERTAS Y 1 CAJÓN BLANCO,2018-09-12,0.0,0.0
28,64532.0,MESITA 2 PUERTAS Y 1 CAJÓN BLANCO,2018-09-13,0.0,0.0
29,64532.0,MESITA 2 PUERTAS Y 1 CAJÓN BLANCO,2018-09-14,0.0,0.0
30,64532.0,MESITA 2 PUERTAS Y 1 CAJÓN BLANCO,2018-09-15,0.0,0.0
31,64532.0,MESITA 2 PUERTAS Y 1 CAJÓN BLANCO,2018-09-16,0.0,0.0
32,64532.0,MESITA 2 PUERTAS Y 1 CAJÓN BLANCO,2018-09-17,0.0,0.0
33,64532.0,MESITA 2 PUERTAS Y 1 CAJÓN BLANCO,2018-09-18,0.0,0.0
34,64532.0,MESITA 2 PUERTAS Y 1 CAJÓN BLANCO,2018-09-19,0.0,0.0
35,64532.0,MESITA 2 PUERTAS Y 1 CAJÓN BLANCO,2018-09-20,0.0,0.0
36,64532.0,MESITA 2 PUERTAS Y 1 CAJÓN BLANCO,2018-09-21,0.0,0.0
37,64532.0,MESITA 2 PUERTAS Y 1 CAJÓN BLANCO,2018-09-22,0.0,0.0
38,64532.0,MESITA 2 PUERTAS Y 1 CAJÓN BLANCO,2018-09-23,0.0,0.0
39,64532.0,MESITA 2 PUERTAS Y 1 CAJÓN BLANCO,2018-09-24,0.0,0.0
40,64532.0,MESITA 2 PUERTAS Y 1 CAJÓN BLANCO,2018-09-25,0.0,0.0
41,64532.0,MESITA 2 PUERTAS Y 1 CAJÓN BLANCO,2018-09-26,0.0,0.0
42,64532.0,MESITA 2 PUERTAS Y 1 CAJÓN BLANCO,2018-09-27,0.0,0.0
43,64532.0,MESITA 2 PUERTAS Y 1 CAJÓN BLANCO,2018-09-28,0.0,0.0
44,64532.0,MESITA 2 PUERTAS Y 1 CAJÓN BLANCO,2018-09-29,0.0,0.0
45,64532.0,MESITA 2 PUERTAS Y 1 CAJÓN BLANCO,2018-09-30,0.0,0.0
46,64532.0,MESITA 2 PUERTAS Y 1 CAJÓN BLANCO,2018-10-01,0.0,0.0
47,64532.0,MESITA 2 PUERTAS Y 1 CAJÓN BLANCO,2018-10-02,0.0,0.0
48,64532.0,MESITA 2 PUERTAS Y 1 CAJÓN BLANCO,2018-10-03,0.0,0.0
49,64532.0,MESITA 2 PUERTAS Y 1 CAJÓN BLANCO,2018-10-04,0.0,0.0
50,64532.0,MESITA 2 PUERTAS Y 1 CAJÓN BLANCO,2018-10-05,0.0,0.0
51,64532.0,MESITA 2 PUERTAS Y 1 CAJÓN BLANCO,2018-10-06,0.0,0.0
52,64532.0,MESITA 2 PUERTAS Y 1 CAJÓN BLANCO,2018-10-07,0.0,0.0
53,64532.0,MESITA 2 PUERTAS Y 1 CAJÓN BLANCO,2018-10-08,0.0,0.0
54,64532.0,MESITA 2 PUERTAS Y 1 CAJÓN BLANCO,2018-10-09,0.0,0.0
55,64532.0,MESITA 2 PUERTAS Y 1 CAJÓN BLANCO,2018-10-10,0.0,0.0
56,64532.0,MESITA 2 PUERTAS Y 1 CAJÓN BLANCO,2018-10-11,0.0,0.0
57,64532.0,MESITA 2 PUERTAS Y 1 CAJÓN BLANCO,2018-10-12,0.0,0.0
58,64532.0,MESITA 2 PUERTAS Y 1 CAJÓN BLANCO,2018-10-13,0.0,0.0
1,64532.0,MESITA 2 PUERTAS Y 1 CAJÓN BLANCO,2018-10-14,208.26,2.0
59,64532.0,MESITA 2 PUERTAS Y 1 CAJÓN BLANCO,2018-10-15,0.0,0.0
60,64532.0,MESITA 2 PUERTAS Y 1 CAJÓN BLANCO,2018-10-16,0.0,0.0
61,64532.0,MESITA 2 PUERTAS Y 1 CAJÓN BLANCO,2018-10-17,0.0,0.0
62,64532.0,MESITA 2 PUERTAS Y 1 CAJÓN BLANCO,2018-10-18,0.0,0.0
63,64532.0,MESITA 2 PUERTAS Y 1 CAJÓN BLANCO,2018-10-19,0.0,0.0
64,64532.0,MESITA 2 PUERTAS Y 1 CAJÓN BLANCO,2018-10-20,0.0,0.0
65,64532.0,MESITA 2 PUERTAS Y 1 CAJÓN BLANCO,2018-10-21,0.0,0.0
66,64532.0,MESITA 2 PUERTAS Y 1 CAJÓN BLANCO,2018-10-22,0.0,0.0
67,64532.0,MESITA 2 PUERTAS Y 1 CAJÓN BLANCO,2018-10-23,0.0,0.0
68,64532.0,MESITA 2 PUERTAS Y 1 CAJÓN BLANCO,2018-10-24,0.0,0.0
69,64532.0,MESITA 2 PUERTAS Y 1 CAJÓN BLANCO,2018-10-25,0.0,0.0
70,64532.0,MESITA 2 PUERTAS Y 1 CAJÓN BLANCO,2018-10-26,0.0,0.0
71,64532.0,MESITA 2 PUERTAS Y 1 CAJÓN BLANCO,2018-10-27,0.0,0.0
72,64532.0,MESITA 2 PUERTAS Y 1 CAJÓN BLANCO,2018-10-28,0.0,0.0
73,64532.0,MESITA 2 PUERTAS Y 1 CAJÓN BLANCO,2018-10-29,0.0,0.0
74,64532.0,MESITA 2 PUERTAS Y 1 CAJÓN BLANCO,2018-10-30,0.0,0.0
75,64532.0,MESITA 2 PUERTAS Y 1 CAJÓN BLANCO,2018-10-31,0.0,0.0
76,64532.0,MESITA 2 PUERTAS Y 1 CAJÓN BLANCO,2018-11-01,0.0,0.0
77,64532.0,MESITA 2 PUERTAS Y 1 CAJÓN BLANCO,2018-11-02,0.0,0.0
78,64532.0,MESITA 2 PUERTAS Y 1 CAJÓN BLANCO,2018-11-03,0.0,0.0
79,64532.0,MESITA 2 PUERTAS Y 1 CAJÓN BLANCO,2018-11-04,0.0,0.0
80,64532.0,MESITA 2 PUERTAS Y 1 CAJÓN BLANCO,2018-11-05,0.0,0.0
81,64532.0,MESITA 2 PUERTAS Y 1 CAJÓN BLANCO,2018-11-06,0.0,0.0
82,64532.0,MESITA 2 PUERTAS Y 1 CAJÓN BLANCO,2018-11-07,0.0,0.0
83,64532.0,MESITA 2 PUERTAS Y 1 CAJÓN BLANCO,2018-11-08,0.0,0.0
84,64532.0,MESITA 2 PUERTAS Y 1 CAJÓN BLANCO,2018-11-09,0.0,0.0
85,64532.0,MESITA 2 PUERTAS Y 1 CAJÓN BLANCO,2018-11-10,0.0,0.0
86,64532.0,MESITA 2 PUERTAS Y 1 CAJÓN BLANCO,2018-11-11,0.0,0.0
2,64532.0,MESITA 2 PUERTAS Y 1 CAJÓN BLANCO,2018-11-12,208.26,2.0
87,64532.0,MESITA 2 PUERTAS Y 1 CAJÓN BLANCO,2018-11-13,0.0,0.0
88,64532.0,MESITA 2 PUERTAS Y 1 CAJÓN BLANCO,2018-11-14,0.0,0.0
3,64532.0,MESITA 2 PUERTAS Y 1 CAJÓN BLANCO,2018-11-15,187.44,2.0
89,64532.0,MESITA 2 PUERTAS Y 1 CAJÓN BLANCO,2018-11-16,0.0,0.0
90,64532.0,MESITA 2 PUERTAS Y 1 CAJÓN BLANCO,2018-11-17,0.0,0.0
4,64532.0,MESITA 2 PUERTAS Y 1 CAJÓN BLANCO,2018-11-18,291.58,3.0
91,64532.0,MESITA 2 PUERTAS Y 1 CAJÓN BLANCO,2018-11-19,0.0,0.0
92,64532.0,MESITA 2 PUERTAS Y 1 CAJÓN BLANCO,2018-11-20,0.0,0.0
93,64532.0,MESITA 2 PUERTAS Y 1 CAJÓN BLANCO,2018-11-21,0.0,0.0
94,64532.0,MESITA 2 PUERTAS Y 1 CAJÓN BLANCO,2018-11-22,0.0,0.0
95,64532.0,MESITA 2 PUERTAS Y 1 CAJÓN BLANCO,2018-11-23,0.0,0.0
5,64532.0,MESITA 2 PUERTAS Y 1 CAJÓN BLANCO,2018-11-24,93.72,1.0
96,64532.0,MESITA 2 PUERTAS Y 1 CAJÓN BLANCO,2018-11-25,0.0,0.0
