,Reference,Name,Dates,Net_Incomes,Units_sold
25,122334.0,MESITA DE NOCHE 2 CAJONES,2018-09-03,0.0,0.0
0,122334.0,MESITA DE NOCHE 2 CAJONES,2018-09-04,55.29,1.0
26,122334.0,MESITA DE NOCHE 2 CAJONES,2018-09-05,0.0,0.0
27,122334.0,MESITA DE NOCHE 2 CAJONES,2018-09-06,0.0,0.0
28,122334.0,MESITA DE NOCHE 2 CAJONES,2018-09-07,0.0,0.0
29,122334.0,MESITA DE NOCHE 2 CAJONES,2018-09-08,0.0,0.0
30,122334.0,MESITA DE NOCHE 2 CAJONES,2018-09-09,0.0,0.0
31,122334.0,MESITA DE NOCHE 2 CAJONES,2018-09-10,0.0,0.0
32,122334.0,MESITA DE NOCHE 2 CAJONES,2018-09-11,0.0,0.0
33,122334.0,MESITA DE NOCHE 2 CAJONES,2018-09-12,0.0,0.0
34,122334.0,MESITA DE NOCHE 2 CAJONES,2018-09-13,0.0,0.0
35,122334.0,MESITA DE NOCHE 2 CAJONES,2018-09-14,0.0,0.0
36,122334.0,MESITA DE NOCHE 2 CAJONES,2018-09-15,0.0,0.0
37,122334.0,MESITA DE NOCHE 2 CAJONES,2018-09-16,0.0,0.0
38,122334.0,MESITA DE NOCHE 2 CAJONES,2018-09-17,0.0,0.0
39,122334.0,MESITA DE NOCHE 2 CAJONES,2018-09-18,0.0,0.0
40,122334.0,MESITA DE NOCHE 2 CAJONES,2018-09-19,0.0,0.0
41,122334.0,MESITA DE NOCHE 2 CAJONES,2018-09-20,0.0,0.0
42,122334.0,MESITA DE NOCHE 2 CAJONES,2018-09-21,0.0,0.0
43,122334.0,MESITA DE NOCHE 2 CAJONES,2018-09-22,0.0,0.0
44,122334.0,MESITA DE NOCHE 2 CAJONES,2018-09-23,0.0,0.0
45,122334.0,MESITA DE NOCHE 2 CAJONES,2018-09-24,0.0,0.0
46,122334.0,MESITA DE NOCHE 2 CAJONES,2018-09-25,0.0,0.0
47,122334.0,MESITA DE NOCHE 2 CAJONES,2018-09-26,0.0,0.0
48,122334.0,MESITA DE NOCHE 2 CAJONES,2018-09-27,0.0,0.0
49,122334.0,MESITA DE NOCHE 2 CAJONES,2018-09-28,0.0,0.0
50,122334.0,MESITA DE NOCHE 2 CAJONES,2018-09-29,0.0,0.0
51,122334.0,MESITA DE NOCHE 2 CAJONES,2018-09-30,0.0,0.0
52,122334.0,MESITA DE NOCHE 2 CAJONES,2018-10-01,0.0,0.0
53,122334.0,MESITA DE NOCHE 2 CAJONES,2018-10-02,0.0,0.0
54,122334.0,MESITA DE NOCHE 2 CAJONES,2018-10-03,0.0,0.0
55,122334.0,MESITA DE NOCHE 2 CAJONES,2018-10-04,0.0,0.0
56,122334.0,MESITA DE NOCHE 2 CAJONES,2018-10-05,0.0,0.0
57,122334.0,MESITA DE NOCHE 2 CAJONES,2018-10-06,0.0,0.0
58,122334.0,MESITA DE NOCHE 2 CAJONES,2018-10-07,0.0,0.0
59,122334.0,MESITA DE NOCHE 2 CAJONES,2018-10-08,0.0,0.0
60,122334.0,MESITA DE NOCHE 2 CAJONES,2018-10-09,0.0,0.0
61,122334.0,MESITA DE NOCHE 2 CAJONES,2018-10-10,0.0,0.0
62,122334.0,MESITA DE NOCHE 2 CAJONES,2018-10-11,0.0,0.0
63,122334.0,MESITA DE NOCHE 2 CAJONES,2018-10-12,0.0,0.0
64,122334.0,MESITA DE NOCHE 2 CAJONES,2018-10-13,0.0,0.0
65,122334.0,MESITA DE NOCHE 2 CAJONES,2018-10-14,0.0,0.0
66,122334.0,MESITA DE NOCHE 2 CAJONES,2018-10-15,0.0,0.0
67,122334.0,MESITA DE NOCHE 2 CAJONES,2018-10-16,0.0,0.0
1,122334.0,MESITA DE NOCHE 2 CAJONES,2018-10-17,110.58,2.0
2,122334.0,MESITA DE NOCHE 2 CAJONES,2018-10-18,55.29,1.0
68,122334.0,MESITA DE NOCHE 2 CAJONES,2018-10-19,0.0,0.0
69,122334.0,MESITA DE NOCHE 2 CAJONES,2018-10-20,0.0,0.0
70,122334.0,MESITA DE NOCHE 2 CAJONES,2018-10-21,0.0,0.0
71,122334.0,MESITA DE NOCHE 2 CAJONES,2018-10-22,0.0,0.0
72,122334.0,MESITA DE NOCHE 2 CAJONES,2018-10-23,0.0,0.0
3,122334.0,MESITA DE NOCHE 2 CAJONES,2018-10-24,55.29,1.0
73,122334.0,MESITA DE NOCHE 2 CAJONES,2018-10-25,0.0,0.0
74,122334.0,MESITA DE NOCHE 2 CAJONES,2018-10-26,0.0,0.0
75,122334.0,MESITA DE NOCHE 2 CAJONES,2018-10-27,0.0,0.0
76,122334.0,MESITA DE NOCHE 2 CAJONES,2018-10-28,0.0,0.0
77,122334.0,MESITA DE NOCHE 2 CAJONES,2018-10-29,0.0,0.0
78,122334.0,MESITA DE NOCHE 2 CAJONES,2018-10-30,0.0,0.0
4,122334.0,MESITA DE NOCHE 2 CAJONES,2018-10-31,442.31,8.0
79,122334.0,MESITA DE NOCHE 2 CAJONES,2018-11-01,0.0,0.0
80,122334.0,MESITA DE NOCHE 2 CAJONES,2018-11-02,0.0,0.0
81,122334.0,MESITA DE NOCHE 2 CAJONES,2018-11-03,0.0,0.0
82,122334.0,MESITA DE NOCHE 2 CAJONES,2018-11-04,0.0,0.0
83,122334.0,MESITA DE NOCHE 2 CAJONES,2018-11-05,0.0,0.0
84,122334.0,MESITA DE NOCHE 2 CAJONES,2018-11-06,0.0,0.0
5,122334.0,MESITA DE NOCHE 2 CAJONES,2018-11-07,55.29,1.0
85,122334.0,MESITA DE NOCHE 2 CAJONES,2018-11-08,0.0,0.0
86,122334.0,MESITA DE NOCHE 2 CAJONES,2018-11-09,0.0,0.0
87,122334.0,MESITA DE NOCHE 2 CAJONES,2018-11-10,0.0,0.0
88,122334.0,MESITA DE NOCHE 2 CAJONES,2018-11-11,0.0,0.0
6,122334.0,MESITA DE NOCHE 2 CAJONES,2018-11-12,99.52,2.0
7,122334.0,MESITA DE NOCHE 2 CAJONES,2018-11-13,55.29,1.0
