,Reference,Dates,Page_Views
114,122539,2018-09-03,0.0
115,122539,2018-09-04,0.0
116,122539,2018-09-05,0.0
117,122539,2018-09-06,0.0
118,122539,2018-09-07,0.0
119,122539,2018-09-08,0.0
120,122539,2018-09-09,0.0
121,122539,2018-09-10,0.0
122,122539,2018-09-11,0.0
123,122539,2018-09-12,0.0
124,122539,2018-09-13,0.0
125,122539,2018-09-14,0.0
126,122539,2018-09-15,0.0
127,122539,2018-09-16,0.0
128,122539,2018-09-17,0.0
129,122539,2018-09-18,0.0
130,122539,2018-09-19,0.0
0,122539,2018-09-20,9.0
1,122539,2018-09-21,19.0
2,122539,2018-09-22,47.0
3,122539,2018-09-23,47.0
4,122539,2018-09-24,47.0
5,122539,2018-09-25,84.0
6,122539,2018-09-26,19.0
7,122539,2018-09-27,47.0
8,122539,2018-09-28,19.0
9,122539,2018-09-29,19.0
10,122539,2018-09-30,94.0
131,122539,2018-10-01,0.0
11,122539,2018-10-02,47.0
12,122539,2018-10-03,9.0
13,122539,2018-10-04,47.0
14,122539,2018-10-05,37.0
15,122539,2018-10-06,19.0
16,122539,2018-10-07,47.0
17,122539,2018-10-08,19.0
18,122539,2018-10-09,37.0
19,122539,2018-10-10,19.0
20,122539,2018-10-11,28.0
21,122539,2018-10-12,56.0
22,122539,2018-10-13,66.0
23,122539,2018-10-14,47.0
24,122539,2018-10-15,75.0
25,122539,2018-10-16,75.0
26,122539,2018-10-17,28.0
27,122539,2018-10-18,47.0
132,122539,2018-10-19,0.0
28,122539,2018-10-20,19.0
29,122539,2018-10-21,47.0
30,122539,2018-10-22,28.0
31,122539,2018-10-23,9.0
32,122539,2018-10-24,9.0
33,122539,2018-10-25,28.0
34,122539,2018-10-26,75.0
35,122539,2018-10-27,75.0
36,122539,2018-10-28,56.0
37,122539,2018-10-29,19.0
38,122539,2018-10-30,28.0
39,122539,2018-10-31,28.0
40,122539,2018-11-01,19.0
41,122539,2018-11-02,37.0
42,122539,2018-11-03,75.0
43,122539,2018-11-04,84.0
44,122539,2018-11-05,19.0
45,122539,2018-11-06,112.0
46,122539,2018-11-07,56.0
47,122539,2018-11-08,56.0
48,122539,2018-11-09,28.0
49,122539,2018-11-10,47.0
50,122539,2018-11-11,150.0
51,122539,2018-11-12,66.0
52,122539,2018-11-13,19.0
53,122539,2018-11-14,47.0
54,122539,2018-11-15,56.0
55,122539,2018-11-16,47.0
56,122539,2018-11-17,37.0
57,122539,2018-11-18,75.0
58,122539,2018-11-19,28.0
59,122539,2018-11-20,47.0
60,122539,2018-11-21,19.0
61,122539,2018-11-22,56.0
62,122539,2018-11-23,19.0
63,122539,2018-11-24,66.0
64,122539,2018-11-25,75.0
65,122539,2018-11-26,28.0
66,122539,2018-11-27,9.0
67,122539,2018-11-28,37.0
68,122539,2018-11-29,47.0
69,122539,2018-11-30,19.0
70,122539,2018-12-01,28.0
71,122539,2018-12-02,56.0
133,122539,2018-12-03,0.0
72,122539,2018-12-04,9.0
134,122539,2018-12-05,0.0
73,122539,2018-12-06,37.0
74,122539,2018-12-07,19.0
75,122539,2018-12-08,47.0
76,122539,2018-12-09,9.0
77,122539,2018-12-10,75.0
78,122539,2018-12-11,47.0
79,122539,2018-12-12,9.0
80,122539,2018-12-13,9.0
81,122539,2018-12-14,37.0
82,122539,2018-12-15,47.0
83,122539,2018-12-16,56.0
84,122539,2018-12-17,28.0
85,122539,2018-12-18,75.0
86,122539,2018-12-19,94.0
87,122539,2018-12-20,37.0
88,122539,2018-12-21,19.0
89,122539,2018-12-22,47.0
90,122539,2018-12-23,66.0
91,122539,2018-12-24,28.0
92,122539,2018-12-25,66.0
93,122539,2018-12-26,56.0
94,122539,2018-12-27,56.0
95,122539,2018-12-28,56.0
96,122539,2018-12-29,47.0
97,122539,2018-12-30,37.0
98,122539,2018-12-31,28.0
99,122539,2019-01-01,47.0
100,122539,2019-01-02,28.0
101,122539,2019-01-03,28.0
102,122539,2019-01-04,37.0
103,122539,2019-01-05,37.0
104,122539,2019-01-06,9.0
105,122539,2019-01-07,66.0
106,122539,2019-01-08,37.0
107,122539,2019-01-09,84.0
108,122539,2019-01-10,47.0
109,122539,2019-01-11,9.0
110,122539,2019-01-12,84.0
135,122539,2019-01-13,0.0
136,122539,2019-01-14,0.0
137,122539,2019-01-15,0.0
111,122539,2019-01-16,9.0
138,122539,2019-01-17,0.0
139,122539,2019-01-18,0.0
140,122539,2019-01-19,0.0
141,122539,2019-01-20,0.0
142,122539,2019-01-21,0.0
143,122539,2019-01-22,0.0
144,122539,2019-01-23,0.0
145,122539,2019-01-24,0.0
146,122539,2019-01-25,0.0
147,122539,2019-01-26,0.0
148,122539,2019-01-27,0.0
149,122539,2019-01-28,0.0
150,122539,2019-01-29,0.0
151,122539,2019-01-30,0.0
152,122539,2019-01-31,0.0
153,122539,2019-02-01,0.0
154,122539,2019-02-02,0.0
155,122539,2019-02-03,0.0
156,122539,2019-02-04,0.0
157,122539,2019-02-05,0.0
158,122539,2019-02-06,0.0
112,122539,2019-02-07,9.0
159,122539,2019-02-08,0.0
160,122539,2019-02-09,0.0
161,122539,2019-02-10,0.0
162,122539,2019-02-11,0.0
163,122539,2019-02-12,0.0
164,122539,2019-02-13,0.0
165,122539,2019-02-14,0.0
166,122539,2019-02-15,0.0
167,122539,2019-02-16,0.0
168,122539,2019-02-17,0.0
113,122539,2019-02-18,9.0
169,122539,2019-02-19,0.0
