,Reference,Dates,Page_Views
155,123482,2018-09-03,0.0
0,123482,2018-09-04,9.0
156,123482,2018-09-05,0.0
157,123482,2018-09-06,0.0
1,123482,2018-09-07,9.0
2,123482,2018-09-08,9.0
158,123482,2018-09-09,0.0
3,123482,2018-09-10,47.0
159,123482,2018-09-11,0.0
160,123482,2018-09-12,0.0
161,123482,2018-09-13,0.0
162,123482,2018-09-14,0.0
4,123482,2018-09-15,47.0
5,123482,2018-09-16,37.0
163,123482,2018-09-17,0.0
6,123482,2018-09-18,75.0
7,123482,2018-09-19,47.0
8,123482,2018-09-20,9.0
164,123482,2018-09-21,0.0
165,123482,2018-09-22,0.0
9,123482,2018-09-23,47.0
10,123482,2018-09-24,47.0
11,123482,2018-09-25,75.0
12,123482,2018-09-26,37.0
13,123482,2018-09-27,9.0
14,123482,2018-09-28,19.0
15,123482,2018-09-29,37.0
16,123482,2018-09-30,19.0
17,123482,2018-10-01,28.0
18,123482,2018-10-02,9.0
19,123482,2018-10-03,28.0
166,123482,2018-10-04,0.0
20,123482,2018-10-05,37.0
21,123482,2018-10-06,19.0
22,123482,2018-10-07,28.0
23,123482,2018-10-08,9.0
167,123482,2018-10-09,0.0
24,123482,2018-10-10,19.0
25,123482,2018-10-11,37.0
26,123482,2018-10-12,37.0
27,123482,2018-10-13,19.0
28,123482,2018-10-14,47.0
29,123482,2018-10-15,19.0
30,123482,2018-10-16,28.0
31,123482,2018-10-17,56.0
32,123482,2018-10-18,56.0
33,123482,2018-10-19,56.0
34,123482,2018-10-20,9.0
35,123482,2018-10-21,9.0
36,123482,2018-10-22,56.0
37,123482,2018-10-23,66.0
38,123482,2018-10-24,28.0
39,123482,2018-10-25,9.0
40,123482,2018-10-26,9.0
41,123482,2018-10-27,19.0
42,123482,2018-10-28,9.0
168,123482,2018-10-29,0.0
169,123482,2018-10-30,0.0
43,123482,2018-10-31,9.0
44,123482,2018-11-01,9.0
170,123482,2018-11-02,0.0
45,123482,2018-11-03,37.0
46,123482,2018-11-04,9.0
47,123482,2018-11-05,66.0
48,123482,2018-11-06,47.0
49,123482,2018-11-07,56.0
50,123482,2018-11-08,19.0
51,123482,2018-11-09,28.0
52,123482,2018-11-10,19.0
53,123482,2018-11-11,9.0
171,123482,2018-11-12,0.0
54,123482,2018-11-13,28.0
55,123482,2018-11-14,19.0
56,123482,2018-11-15,9.0
57,123482,2018-11-16,28.0
58,123482,2018-11-17,75.0
59,123482,2018-11-18,66.0
60,123482,2018-11-19,47.0
61,123482,2018-11-20,37.0
62,123482,2018-11-21,56.0
63,123482,2018-11-22,66.0
64,123482,2018-11-23,56.0
