,Reference,CatN1,CatN2,Cat_Price,Dates,CPC_medio,Impressions,Clics,Page_Views,Cost,Conversions,All_Conversions,Ads_Income,Ads_Income_All,Net_Incomes,Units_sold,ROAS_Ads,CTR,CPC_medio_1w,CPC_medio_2w,CPC_medio_3w,CPC_medio_4w,Impressions_1w,Impressions_2w,Impressions_3w,Impressions_4w,Clics_1w,Clics_2w,Clics_3w,Clics_4w,CTR_1w,CTR_2w,CTR_3w,CTR_4w,Page_Views_1w,Page_Views_2w,Page_Views_3w,Page_Views_4w,Cost_1w,Cost_2w,Cost_3w,Cost_4w,Conversions_1w,Conversions_2w,Conversions_3w,Conversions_4w,All_Conversions_1w,All_Conversions_2w,All_Conversions_3w,All_Conversions_4w,Ads_Income_1w,Ads_Income_2w,Ads_Income_3w,Ads_Income_4w,Ads_Income_All_1w,Ads_Income_All_2w,Ads_Income_All_3w,Ads_Income_All_4w,Net_Incomes_1w,Net_Incomes_2w,Net_Incomes_3w,Net_Incomes_4w,Units_sold_1w,Units_sold_2w,Units_sold_3w,Units_sold_4w
28,101318,muebles,sillas,80.0,2018-10-01,0.34,1397.0,14.0,56.0,4.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010021474588403722,0.05,0.02,0.02,0.01,1397.0,1397.0,1397.0,1397.0,14.0,14.0,14.0,14.0,0.01,0.01,0.01,0.01,56.0,56.0,56.0,56.0,4.76,4.76,4.76,4.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,101318,muebles,sillas,80.0,2018-10-02,0.35,1512.0,7.0,9.0,2.45,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.004629629629629629,0.1,0.05,0.03,0.02,1454.5,1454.5,1454.5,1454.5,10.5,10.5,10.5,10.5,0.01,0.01,0.01,0.01,32.5,32.5,32.5,32.5,3.6,3.6,3.6,3.6,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,101318,muebles,sillas,80.0,2018-10-03,0.37,1563.0,11.0,28.0,4.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007037747920665387,0.15,0.08,0.05,0.04,1490.67,1490.67,1490.67,1490.67,10.67,10.67,10.67,10.67,0.01,0.01,0.01,0.01,31.0,31.0,31.0,31.0,3.75,3.75,3.75,3.75,0.0,0.0,0.0,0.0,0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,101318,muebles,sillas,80.0,2018-10-04,0.35,1865.0,13.0,28.0,4.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006970509383378016,0.2,0.1,0.07,0.05,1584.25,1584.25,1584.25,1584.25,11.25,11.25,11.25,11.25,0.01,0.01,0.01,0.01,30.25,30.25,30.25,30.25,3.96,3.96,3.96,3.96,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,101318,muebles,sillas,80.0,2018-10-05,0.33,2436.0,21.0,9.0,6.99,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.008620689655172414,0.25,0.12,0.08,0.06,1754.6,1754.6,1754.6,1754.6,13.2,13.2,13.2,13.2,0.01,0.01,0.01,0.01,26.0,26.0,26.0,26.0,4.57,4.57,4.57,4.57,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,101318,muebles,sillas,80.0,2018-10-06,0.35,3628.0,21.0,28.0,7.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005788313120176406,0.3,0.15,0.1,0.07,2066.83,2066.83,2066.83,2066.83,14.5,14.5,14.5,14.5,0.01,0.01,0.01,0.01,26.33,26.33,26.33,26.33,5.02,5.02,5.02,5.02,0.0,0.0,0.0,0.0,0.33,0.33,0.33,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,101318,muebles,sillas,80.0,2018-10-07,0.34,3827.0,30.0,56.0,10.26,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.007839038411288215,0.35,0.17,0.12,0.09,2318.29,2318.29,2318.29,2318.29,16.71,16.71,16.71,16.71,0.01,0.01,0.01,0.01,30.57,30.57,30.57,30.57,5.77,5.77,5.77,5.77,0.0,0.0,0.0,0.0,0.43,0.43,0.43,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,101318,muebles,sillas,80.0,2018-10-08,0.35,2230.0,17.0,9.0,5.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007623318385650224,0.35,0.2,0.13,0.1,2437.29,2307.25,2307.25,2307.25,17.14,16.75,16.75,16.75,0.01,0.01,0.01,0.01,23.86,27.88,27.88,27.88,5.94,5.8,5.8,5.8,0.0,0.0,0.0,0.0,0.43,0.38,0.38,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,101318,muebles,sillas,80.0,2018-10-09,0.32,2665.0,14.0,28.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00525328330206379,0.34,0.22,0.15,0.11,2602.0,2347.0,2347.0,2347.0,18.14,16.44,16.44,16.44,0.01,0.01,0.01,0.01,26.57,27.89,27.89,27.89,6.24,5.65,5.65,5.65,0.0,0.0,0.0,0.0,0.29,0.33,0.33,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,101318,muebles,sillas,80.0,2018-10-10,0.36,1808.0,6.0,66.0,2.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00331858407079646,0.34,0.25,0.16,0.12,2637.0,2293.1,2293.1,2293.1,17.43,15.4,15.4,15.4,0.01,0.01,0.01,0.01,32.0,31.7,31.7,31.7,5.97,5.3,5.3,5.3,0.0,0.0,0.0,0.0,0.29,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
