,CatN1,CatN2,Cat_Price,CPC_medio,CPC_medio_1w,CPC_medio_2w,CPC_medio_3w,CPC_medio_4w,Impressions,Impressions_1w,Impressions_2w,Impressions_3w,Impressions_4w,Clics,Clics_1w,Clics_2w,Clics_3w,Clics_4w,CTR,CTR_1w,CTR_2w,CTR_3w,CTR_4w,Page_Views,Page_Views_1w,Page_Views_2w,Page_Views_3w,Page_Views_4w,Cost,Cost_1w,Cost_2w,Cost_3w,Cost_4w,Conversions,Conversions_1w,Conversions_2w,Conversions_3w,Conversions_4w,All_Conversions,All_Conversions_1w,All_Conversions_2w,All_Conversions_3w,All_Conversions_4w,Ads_Income,Ads_Income_1w,Ads_Income_2w,Ads_Income_3w,Ads_Income_4w,Ads_Income_All,Ads_Income_All_1w,Ads_Income_All_2w,Ads_Income_All_3w,Ads_Income_All_4w,Net_Incomes,Net_Incomes_1w,Net_Incomes_2w,Net_Incomes_3w,Net_Incomes_4w,Units_sold,Units_sold_1w,Units_sold_2w,Units_sold_3w,Units_sold_4w,ROAS_Ads,ROAS
134,muebles,"consolas, recibidores y tocadores",200.0,0.18,0.03,0.01,0.01,0.01,21.0,27.29,13.64,9.1,6.82,2.0,0.29,0.14,0.1,0.07,0.09523809523809523,0.02,0.02,0.02,0.02,9.0,22.57,19.29,15.05,12.29,0.35,0.05,0.02,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,434.45,104.14,115.19,84.58,69.28,3.0,0.71,0.79,0.57,0.46,0.0,1241.2857142857142
142,muebles,"consolas, recibidores y tocadores",200.0,0.34,0.13,0.08,0.05,0.04,104.0,97.29,64.79,43.19,32.39,4.0,1.71,1.0,0.67,0.5,0.038461538461538464,0.03,0.02,0.02,0.02,9.0,22.57,21.93,21.29,17.61,1.35,0.42,0.24,0.16,0.12,0.0,0.04,0.02,0.01,0.01,0.0,0.09,0.04,0.03,0.02,0.0,3.8,1.9,1.27,0.95,0.0,6.13,3.06,2.04,1.53,147.27,21.04,52.07,83.8,68.7,1.0,0.14,0.36,0.57,0.46,0.0,109.08888888888889
160,muebles,"consolas, recibidores y tocadores",200.0,0.12,0.37,0.22,0.25,0.21,402.0,225.57,162.14,155.71,131.82,2.0,1.86,1.64,1.57,1.54,0.0049751243781094535,0.01,0.01,0.01,0.02,19.0,12.0,16.64,16.86,16.96,0.23,0.66,0.44,0.49,0.44,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,1.53,147.27,21.04,10.52,14.03,26.04,1.0,0.14,0.07,0.1,0.18,0.0,640.304347826087
163,muebles,"consolas, recibidores y tocadores",200.0,0.27,0.34,0.27,0.28,0.24,390.0,291.86,202.5,181.52,160.46,1.0,2.29,1.71,1.67,1.68,0.002564102564102564,0.01,0.01,0.01,0.01,9.0,12.0,16.64,14.62,16.61,0.27,0.74,0.53,0.52,0.5,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,1.53,139.09,40.91,20.45,13.64,15.49,1.0,0.29,0.14,0.1,0.11,0.0,515.1481481481482
168,muebles,"consolas, recibidores y tocadores",200.0,0.85,0.45,0.37,0.31,0.31,236.0,219.29,227.29,184.43,173.75,2.0,1.43,1.71,1.67,1.61,0.00847457627118644,0.01,0.01,0.01,0.01,19.0,16.0,14.0,17.33,15.64,1.7,0.68,0.65,0.55,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278.18,79.48,50.26,33.51,30.39,2.0,0.57,0.36,0.24,0.21,0.0,163.63529411764708
174,muebles,"consolas, recibidores y tocadores",200.0,0.38,0.37,0.37,0.37,0.3,305.0,343.57,277.79,260.38,219.96,2.0,1.57,1.5,1.62,1.57,0.006557377049180328,0.0,0.01,0.01,0.01,28.0,17.29,17.29,15.52,16.96,0.75,0.67,0.59,0.62,0.52,0.0,0.04,0.02,0.01,0.01,0.0,0.04,0.02,0.01,0.01,0.0,8.86,4.43,2.95,2.22,0.0,8.86,4.43,2.95,2.22,132.13,58.62,49.18,39.8,29.85,1.0,0.43,0.36,0.29,0.21,0.0,176.17333333333332
175,muebles,"consolas, recibidores y tocadores",200.0,0.38,0.3,0.38,0.35,0.31,324.0,356.14,287.71,270.24,227.36,3.0,1.71,1.57,1.71,1.68,0.009259259259259259,0.0,0.01,0.01,0.01,9.0,15.86,15.93,14.62,16.96,1.13,0.59,0.64,0.63,0.56,0.0,0.04,0.02,0.01,0.01,0.0,0.04,0.02,0.01,0.01,0.0,8.86,4.43,2.95,2.22,0.0,8.86,4.43,2.95,2.22,163.64,42.25,60.87,47.59,35.69,1.0,0.29,0.43,0.33,0.25,0.0,144.8141592920354
180,muebles,"consolas, recibidores y tocadores",200.0,0.45,0.37,0.36,0.36,0.36,555.0,475.14,397.36,348.19,306.82,3.0,3.14,2.29,2.05,2.07,0.005405405405405407,0.01,0.01,0.01,0.01,9.0,11.86,15.93,15.05,14.29,1.36,1.17,0.89,0.76,0.76,0.0,0.0,0.02,0.01,0.01,0.0,0.0,0.02,0.01,0.01,0.0,0.0,4.43,2.95,2.22,0.0,0.0,4.43,2.95,2.22,163.64,65.63,52.69,55.38,41.54,1.0,0.43,0.36,0.38,0.29,0.0,120.32352941176468
199,muebles,"consolas, recibidores y tocadores",300.0,0.18,0.35,0.31,0.34,0.34,299.0,496.71,535.79,562.62,526.14,3.0,2.29,2.93,3.38,3.21,0.010033444816053512,0.01,0.01,0.01,0.01,19.0,5.43,10.64,10.62,11.61,0.54,0.85,1.02,1.27,1.2,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,2.22,0.0,0.0,0.0,0.0,2.22,180.17,77.22,38.61,33.53,35.71,1.0,0.43,0.21,0.19,0.21,0.0,333.6481481481481
132,muebles,"consolas, recibidores y tocadores",150.0,0.3,0.04,0.02,0.01,0.01,55.0,10.14,5.07,3.38,2.54,1.0,0.29,0.14,0.1,0.07,0.01818181818181818,0.04,0.04,0.04,0.04,9.0,9.29,9.29,7.52,6.64,0.3,0.04,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.5,17.21,18.17,12.11,13.39,1.0,0.14,0.14,0.1,0.11,0.0,401.6666666666667
