Referencia;Name;T Día natural;Valor neto pedidos;Cantidad en unidades (pedidos)
4623;"ESPEJO PUERTA ""LCC"" BLANCO POLIETILENO";11.09.2017;18,93;1
4623;"ESPEJO PUERTA ""LCC"" BLANCO POLIETILENO";21.09.2017;18,93;1
4623;"ESPEJO PUERTA ""LCC"" BLANCO POLIETILENO";08.10.2017;16,08;1
4623;"ESPEJO PUERTA ""LCC"" BLANCO POLIETILENO";16.10.2017;16,08;1
4623;"ESPEJO PUERTA ""LCC"" BLANCO POLIETILENO";21.10.2017;16,08;1
4624;ESPEJO PUERTA LCC POLIETILENO NARANJA;08.09.2017;16,12;1
4624;ESPEJO PUERTA LCC POLIETILENO NARANJA;17.09.2017;18,93;1
4631;"ESPEJO PUERTA ""LCC"" PLATA POLIETILENO";03.09.2017;80,59;5
4631;"ESPEJO PUERTA ""LCC"" PLATA POLIETILENO";04.09.2017;16,12;1
4631;"ESPEJO PUERTA ""LCC"" PLATA POLIETILENO";05.09.2017;112,82;7
4631;"ESPEJO PUERTA ""LCC"" PLATA POLIETILENO";06.09.2017;16,12;1
4631;"ESPEJO PUERTA ""LCC"" PLATA POLIETILENO";10.09.2017;16,12;1
4631;"ESPEJO PUERTA ""LCC"" PLATA POLIETILENO";12.09.2017;37,86;2
4631;"ESPEJO PUERTA ""LCC"" PLATA POLIETILENO";13.09.2017;18,93;1
4631;"ESPEJO PUERTA ""LCC"" PLATA POLIETILENO";14.09.2017;18,93;1
4631;"ESPEJO PUERTA ""LCC"" PLATA POLIETILENO";15.09.2017;18,93;1
4631;"ESPEJO PUERTA ""LCC"" PLATA POLIETILENO";20.09.2017;18,93;1
4631;"ESPEJO PUERTA ""LCC"" PLATA POLIETILENO";21.09.2017;18,93;1
4631;"ESPEJO PUERTA ""LCC"" PLATA POLIETILENO";24.09.2017;18,93;1
4631;"ESPEJO PUERTA ""LCC"" PLATA POLIETILENO";25.09.2017;18,93;1
4631;"ESPEJO PUERTA ""LCC"" PLATA POLIETILENO";01.10.2017;37,85;2
4631;"ESPEJO PUERTA ""LCC"" PLATA POLIETILENO";08.10.2017;35,01;2
4631;"ESPEJO PUERTA ""LCC"" PLATA POLIETILENO";09.10.2017;18,93;1
4632;"ESPEJO PUERTA ""LCC"" NEGRO POLIETILENO";09.09.2017;16,12;1
4632;"ESPEJO PUERTA ""LCC"" NEGRO POLIETILENO";12.09.2017;18,93;1
4632;"ESPEJO PUERTA ""LCC"" NEGRO POLIETILENO";29.09.2017;16,08;1
4632;"ESPEJO PUERTA ""LCC"" NEGRO POLIETILENO";01.10.2017;16,08;1
4632;"ESPEJO PUERTA ""LCC"" NEGRO POLIETILENO";14.10.2017;18,93;1
4632;"ESPEJO PUERTA ""LCC"" NEGRO POLIETILENO";04.11.2017;16,08;1
4632;"ESPEJO PUERTA ""LCC"" NEGRO POLIETILENO";06.11.2017;18,93;1
6558;JARRÓN CILÍNDRICO VIDRIO;16.10.2017;13,97;1
6558;JARRÓN CILÍNDRICO VIDRIO;23.11.2017;11,87;1
6558;JARRÓN CILÍNDRICO VIDRIO;21.07.2018;13,97;1
