,Dates
0,2018-09-03
1,2018-09-04
2,2018-09-05
3,2018-09-06
4,2018-09-07
5,2018-09-08
6,2018-09-09
7,2018-09-10
8,2018-09-11
9,2018-09-12
10,2018-09-13
11,2018-09-14
12,2018-09-15
13,2018-09-16
14,2018-09-17
15,2018-09-18
16,2018-09-19
17,2018-09-20
18,2018-09-21
19,2018-09-22
20,2018-09-23
21,2018-09-24
22,2018-09-25
23,2018-09-26
24,2018-09-27
25,2018-09-28
26,2018-09-29
27,2018-09-30
28,2018-10-01
29,2018-10-02
30,2018-10-03
31,2018-10-04
32,2018-10-05
33,2018-10-06
34,2018-10-07
35,2018-10-08
36,2018-10-09
37,2018-10-10
38,2018-10-11
39,2018-10-12
40,2018-10-13
41,2018-10-14
42,2018-10-15
43,2018-10-16
44,2018-10-17
45,2018-10-18
46,2018-10-19
47,2018-10-20
48,2018-10-21
49,2018-10-22
50,2018-10-23
51,2018-10-24
52,2018-10-25
53,2018-10-26
54,2018-10-27
55,2018-10-28
56,2018-10-29
57,2018-10-30
58,2018-10-31
59,2018-11-01
60,2018-11-02
61,2018-11-03
62,2018-11-04
63,2018-11-05
64,2018-11-06
65,2018-11-07
66,2018-11-08
67,2018-11-09
68,2018-11-10
69,2018-11-11
70,2018-11-12
71,2018-11-13
72,2018-11-14
73,2018-11-15
74,2018-11-16
75,2018-11-17
76,2018-11-18
77,2018-11-19
78,2018-11-20
79,2018-11-21
80,2018-11-22
81,2018-11-23
82,2018-11-24
83,2018-11-25
84,2018-11-26
85,2018-11-27
86,2018-11-28
87,2018-11-29
88,2018-11-30
89,2018-12-01
90,2018-12-02
91,2018-12-03
92,2018-12-04
93,2018-12-05
94,2018-12-06
95,2018-12-07
96,2018-12-08
97,2018-12-09
98,2018-12-10
99,2018-12-11
100,2018-12-12
101,2018-12-13
102,2018-12-14
103,2018-12-15
104,2018-12-16
105,2018-12-17
106,2018-12-18
107,2018-12-19
108,2018-12-20
109,2018-12-21
110,2018-12-22
111,2018-12-23
112,2018-12-24
113,2018-12-25
114,2018-12-26
115,2018-12-27
116,2018-12-28
117,2018-12-29
118,2018-12-30
119,2018-12-31
120,2019-01-01
121,2019-01-02
122,2019-01-03
123,2019-01-04
124,2019-01-05
125,2019-01-06
126,2019-01-07
127,2019-01-08
128,2019-01-09
129,2019-01-10
130,2019-01-11
131,2019-01-12
132,2019-01-13
133,2019-01-14
134,2019-01-15
135,2019-01-16
136,2019-01-17
137,2019-01-18
138,2019-01-19
139,2019-01-20
140,2019-01-21
141,2019-01-22
142,2019-01-23
143,2019-01-24
144,2019-01-25
145,2019-01-26
146,2019-01-27
147,2019-01-28
148,2019-01-29
149,2019-01-30
150,2019-01-31
151,2019-02-01
152,2019-02-02
153,2019-02-03
154,2019-02-04
155,2019-02-05
156,2019-02-06
157,2019-02-07
158,2019-02-08
159,2019-02-09
160,2019-02-10
161,2019-02-11
162,2019-02-12
163,2019-02-13
164,2019-02-14
165,2019-02-15
166,2019-02-16
167,2019-02-17
168,2019-02-18
169,2019-02-19
170,2019-02-20
171,2019-02-21
172,2019-02-22
173,2019-02-23
174,2019-02-24
175,2019-02-25
176,2019-02-26
177,2019-02-27
178,2019-02-28
179,2019-03-01
180,2019-03-02
181,2019-03-03
182,2019-03-04
183,2019-03-05
184,2019-03-06
185,2019-03-07
186,2019-03-08
187,2019-03-09
188,2019-03-10
189,2019-03-11
190,2019-03-12
191,2019-03-13
192,2019-03-14
193,2019-03-15
194,2019-03-16
195,2019-03-17
196,2019-03-18
197,2019-03-19
198,2019-03-20
199,2019-03-21
200,2019-03-22
201,2019-03-23
202,2019-03-24
203,2019-03-25
204,2019-03-26
205,2019-03-27
206,2019-03-28
207,2019-03-29
208,2019-03-30
209,2019-03-31
