Page,Day Index,Page Views,Unique Page Views,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/perchero-suelo-metal-negro-21504.html,10/12/2017,9,9,00:00:57,0,0.00%,0.00%,€0.00
/perchero-suelo-metal-negro-21504.html,12/12/2017,9,9,00:00:12,0,0.00%,0.00%,€0.00
/perchero-suelo-metal-negro-21504.html,13/12/2017,9,9,00:00:47,0,0.00%,0.00%,€0.00
/perchero-suelo-metal-negro-21504.html,18/12/2017,9,9,00:00:56,0,0.00%,0.00%,€0.00
/perchero-suelo-metal-negro-21504.html,19/12/2017,9,9,00:00:00,9,100.00%,100.00%,€0.00
/perchero-suelo-metal-negro-21504.html,22/12/2017,9,9,00:00:16,0,0.00%,0.00%,€0.00
/perchero-suelo-metal-negro-21504.html,23/12/2017,19,19,00:00:21,0,0.00%,47.37%,€0.00
/perchero-suelo-metal-negro-21504.html,26/12/2017,9,9,00:00:00,9,100.00%,100.00%,€0.00
/perchero-suelo-metal-negro-21504.html,27/12/2017,9,9,00:00:28,0,0.00%,0.00%,€0.00
/perchero-suelo-metal-negro-21504.html,29/12/2017,19,9,00:00:21,0,0.00%,0.00%,€0.00
/perchero-suelo-metal-negro-21504.html,03/01/2018,28,19,00:00:24,0,0.00%,32.14%,€0.00
/perchero-suelo-metal-negro-21504.html,07/01/2018,9,9,00:00:00,9,100.00%,100.00%,€0.00
/perchero-suelo-metal-negro-21504.html,09/01/2018,9,9,00:00:00,0,0.00%,100.00%,€0.00
/perchero-suelo-metal-negro-21504.html,10/01/2018,9,9,00:00:17,0,0.00%,0.00%,€0.00
/perchero-suelo-metal-negro-21504.html,17/01/2018,9,9,00:00:00,9,100.00%,100.00%,€0.00
/perchero-suelo-metal-negro-21504.html,18/01/2018,9,9,00:00:47,0,0.00%,0.00%,€0.00
/perchero-suelo-metal-negro-21504.html,20/01/2018,9,9,00:00:00,9,100.00%,100.00%,€0.00
/perchero-suelo-metal-negro-21504.html,21/01/2018,9,9,00:00:00,9,100.00%,100.00%,€0.00
/perchero-suelo-metal-negro-21504.html,22/01/2018,9,9,00:00:00,0,0.00%,100.00%,€0.00
/perchero-suelo-metal-negro-21504.html,23/01/2018,37,37,00:00:46,9,100.00%,24.32%,€0.00
/perchero-suelo-metal-negro-21504.html,02/02/2018,9,9,00:00:07,0,0.00%,0.00%,€0.00
/perchero-suelo-metal-negro-21504.html,03/02/2018,9,9,00:00:31,0,0.00%,0.00%,€0.00
/perchero-suelo-metal-negro-21504.html,04/02/2018,9,9,00:00:27,0,0.00%,0.00%,€0.00
/perchero-suelo-metal-negro-21504.html,07/02/2018,9,9,00:00:21,0,0.00%,0.00%,€0.00
/perchero-suelo-metal-negro-21504.html,09/02/2018,9,9,00:00:47,0,0.00%,0.00%,€0.00
/perchero-suelo-metal-negro-21504.html,10/02/2018,19,9,00:00:28,0,0.00%,0.00%,€0.00
/perchero-suelo-metal-negro-21504.html,11/02/2018,28,28,00:00:26,0,0.00%,0.00%,€0.00
/perchero-suelo-metal-negro-21504.html,12/02/2018,19,19,00:01:39,9,0.00%,0.00%,€0.00
/perchero-suelo-metal-negro-21504.html,13/02/2018,19,19,00:00:29,0,0.00%,0.00%,€0.00
/perchero-suelo-metal-negro-21504.html,14/02/2018,47,28,00:02:12,9,100.00%,40.43%,€0.00
/perchero-suelo-metal-negro-21504.html,16/02/2018,9,9,00:00:00,0,0.00%,100.00%,€0.00
/perchero-suelo-metal-negro-21504.html,17/02/2018,28,19,00:00:42,0,0.00%,0.00%,€0.00
/perchero-suelo-metal-negro-21504.html,18/02/2018,19,19,00:00:48,0,0.00%,47.37%,€0.00
/perchero-suelo-metal-negro-21504.html,19/02/2018,9,9,00:00:00,0,0.00%,100.00%,€0.00
/perchero-suelo-metal-negro-21504.html,20/02/2018,75,56,00:00:44,9,0.00%,0.00%,€0.00
/perchero-suelo-metal-negro-21504.html,21/02/2018,19,19,00:01:08,0,0.00%,0.00%,€0.00
/perchero-suelo-metal-negro-21504.html,22/02/2018,28,28,00:00:39,9,100.00%,32.14%,€0.00
/perchero-suelo-metal-negro-21504.html,25/02/2018,37,28,00:00:17,0,0.00%,24.32%,€0.00
/perchero-suelo-metal-negro-21504.html,27/02/2018,19,19,00:00:25,9,0.00%,0.00%,€0.00
/perchero-suelo-metal-negro-21504.html,28/02/2018,9,9,00:00:43,0,0.00%,0.00%,€0.00
/perchero-suelo-metal-negro-21504.html,05/03/2018,9,9,00:00:10,0,0.00%,0.00%,€0.00
/perchero-suelo-metal-negro-21504.html,06/03/2018,28,9,00:01:09,0,0.00%,0.00%,€0.00
