"channel_name","first_touch_conversions","first_touch_value","last_touch_conversions","last_touch_value","linear_touch_conversions","linear_touch_value","total_conversion","total_conversion_value"
"1","(Other)",62,3915.209,106,7598.209,95.1105974041885,6921.68850723313,187.642410446666,8348.00909319085
"2","BING_CPC",128,8378.931,74,1514.583,93.9735181485181,3657.57913714064,82.3344162963461,2502.03412753093
"3","BING_ORGANICO",74,3006.145,59,1598.091,62.6092185592186,1781.85127350427,56.5318407925008,1826.77033781073
"4","BRANDING",2250,77738.293,2176,86211.667,2146.27183439535,76186.2846862288,2067.93954741017,76262.9554643716
"5","CRITEO",156,10148.625,211,13289.893,257.89273993059,17760.0397592481,650.414464784324,25514.6192751379
"6","DIRECTO",1865,60560.798,4327,167663.641,3525.95502972425,144987.353361251,2782.81474435943,102737.775492953
"7","DISPLAY GOOGLE",8,540,4,133,7.60236360678352,472.19232793755,26.4472790499044,1024.15331074073
"8","DISPLAY GOOGLE (impression)",4,104,2,414,15.4051381073379,1673.40348550896,42.1366690775083,1746.2600588339
"9","EMAIL",304,15086.387,198,9367.752,218.923222826754,9736.62571612899,343.703969577419,13488.3468683947
"10","FACEBOOK",223,5590.811,667,27670.882,373.947972606188,11371.3492973709,432.143824679355,16836.6136378854
"11","INSTAGRAM",110,4182.391,80,1821.391,93.3264062935116,2869.80380284043,60.1498786032209,1793.14371943548
"12","ORGANICO",2460,55031.803,1503,36680.818,1808.67278042602,36406.2512396735,1860.50858707589,60761.683953624
"13","SEARCH",729,29024.53,305,6295.37,462.610858583291,13777.0601826744,531.211665850282,16628.3076390258
"14","SHOPPING",2251,99500.489,1030,21567.115,1493.19856961647,47081.8760535311,1436.99609196093,45043.8936691004
"15","SMART",241,11563.447,138,3757.447,179.22049787028,7403.17634793952,218.698838728844,7485.04449212271
"16","SMART (impression)",15,1602,1,413,46.4459185678954,3925.6571551215,101.290625038683,3995.04277932999
"17","YOUTUBE",3,103,2,80,1.83333333333333,64.6666666666667,2.03514626853003,82.2050805119375
