index;path;total_conversions;total_conversion_value
1;ORGANICO;952;71.694
2;BRANDING;756;64.660
3;DIRECTO;587;60.832
4;SHOPPING;512;33.929
5;ORGANICO > DIRECTO;325;28.412
6;DIRECTO > DIRECTO;203;22.207
7;SEARCH;182;9.324
8;BRANDING > BRANDING;169;13.525
9;ORGANICO > DIRECTO > DIRECTO;157;14.695
10;BRANDING > DIRECTO;147;17.005
11;SHOPPING > DIRECTO;133;9.302
12;SHOPPING > SHOPPING;130;8.315
13;DIRECTO > DIRECTO > DIRECTO;89;9.913
14;FACEBOOK;79;4.838
15;ORGANICO > DIRECTO > DIRECTO > DIRECTO;72;11.725
16;EMAIL;67;5.752
17;SMART;64;3.447
18;DIRECTO > DIRECTO > DIRECTO > DIRECTO;63;5.550
19;ORGANICO > FACEBOOK;61;3.402
20;ORGANICO > BRANDING;60;4.544
21;INSTAGRAM;59;3.391
22;SHOPPING > DIRECTO > DIRECTO;57;4.042
23;SHOPPING > SHOPPING > SHOPPING;57;3.350
24;BING_CPC;56;7.583
25;BRANDING > BRANDING > BRANDING;56;4.518
26;BRANDING > ORGANICO;56;3.938
27;BRANDING > DIRECTO > DIRECTO;54;8.461
28;SHOPPING > FACEBOOK;45;2.872
29;SEARCH > DIRECTO;43;3.209
30;ORGANICO > DIRECTO > DIRECTO > DIRECTO > DIRECTO;42;3.812
31;SHOPPING > ORGANICO;42;3.160
32;DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO;39;4.845
33;SHOPPING > BRANDING;37;3.033
34;BING_ORGANICO;36;3.091
35;DIRECTO > BRANDING;34;2.527
36;DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO;32;4.775
37;SHOPPING > DIRECTO > DIRECTO > DIRECTO;32;3.050
38;FACEBOOK > FACEBOOK;31;1.383
39;DIRECTO > FACEBOOK;27;2.889
40;ORGANICO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO;27;3.553
41;BRANDING > DIRECTO > BRANDING;27;2.225
42;DIRECTO > ORGANICO;26;3.674
43;BRANDING > FACEBOOK;25;1.062
44;EMAIL > DIRECTO;24;1.635
45;CRITEO;24;1.441
46;(Other);24;2.209
47;BRANDING > BRANDING > DIRECTO;24;2.649
48;SHOPPING > SHOPPING > SHOPPING > SHOPPING;24;1.249
49;SEARCH > BRANDING;23;1.666
50;BRANDING > BRANDING > BRANDING > BRANDING;21;1.760
51;SHOPPING > SHOPPING > DIRECTO;21;1.790
52;SHOPPING > ORGANICO > DIRECTO;20;1.757
53;SEARCH > DIRECTO > DIRECTO;19;1.850
54;SEARCH > SEARCH;19;1.046
55;ORGANICO > DIRECTO > BRANDING;19;1.363
56;BRANDING > DIRECTO > DIRECTO > DIRECTO;19;2.340
57;BRANDING > ORGANICO > DIRECTO;19;2.081
58;FACEBOOK > DIRECTO;19;1.590
59;SHOPPING > DIRECTO > DIRECTO > DIRECTO > DIRECTO;19;1.947
60;ORGANICO > SHOPPING;18;866
61;ORGANICO > DIRECTO > FACEBOOK;17;2.847
62;DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO;16;1.615
63;SEARCH > ORGANICO;16;958
64;ORGANICO > DIRECTO > DIRECTO > FACEBOOK;16;862
65;BRANDING > BRANDING > ORGANICO;16;1.092
66;SHOPPING > SEARCH;16;913
67;DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO;15;2.762
68;SEARCH > FACEBOOK;15;757
69;ORGANICO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO;15;1.060
70;DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO;14;3.561
71;DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO;14;1.320
72;SEARCH > SHOPPING;14;1.250
73;SHOPPING > BRANDING > BRANDING;14;601
74;ORGANICO > CRITEO;13;1.452
75;INSTAGRAM > DIRECTO;12;889
76;SMART > DIRECTO;12;636
77;ORGANICO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO;12;1.297
78;ORGANICO > BRANDING > BRANDING;12;1.120
79;BRANDING > DIRECTO > DIRECTO > DIRECTO > DIRECTO;12;511
80;SHOPPING > CRITEO;12;673
81;SHOPPING > ORGANICO > DIRECTO > DIRECTO;12;1.390
82;DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO;11;1.090
83;DIRECTO > ORGANICO > DIRECTO;11;1.159
84;ORGANICO > BRANDING > ORGANICO;11;685
85;BRANDING > BRANDING > BRANDING > BRANDING > BRANDING;11;893
86;BRANDING > BRANDING > FACEBOOK;11;1.040
87;SHOPPING > SHOPPING > ORGANICO;11;991
88;EMAIL > EMAIL;10;832
89;SMART > DIRECTO > DIRECTO;10;868
90;ORGANICO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO;10;504
91;ORGANICO > BRANDING > DIRECTO;10;1.551
92;BRANDING > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO > DIRECTO;10;934
93;BRANDING > ORGANICO > BRANDING;10;992
94;BRANDING > SHOPPING;10;681
95;SHOPPING > SHOPPING > DIRECTO > DIRECTO;10;461
96;SHOPPING > SHOPPING > FACEBOOK;10;655
97;INSTAGRAM > INSTAGRAM;9;738
